Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
πρᾶσσ’	pra=ss'	πράσσω	pra/ssw	v3siia---
πρῶτα	prw=ta	πρότερος	pro/teros	a-p---nn-
πρῶτα	prw=ta	πρότερος	pro/teros	a-p---nv-
πρῶτα	prw=ta	πρότερος	pro/teros	a-p---na-
πρῶτα	prw=ta	πρῶτος	prw=tos	a-p---nn-
πρῶτα	prw=ta	πρῶτος	prw=tos	a-p---nv-
πρῶτα	prw=ta	πρῶτος	prw=tos	a-p---na-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---ma-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---nn-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---nv-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---na-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---ma-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---nn-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---nv-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---na-
πρῶτά	prw=ta/	πρότερος	pro/teros	a-p---nn-
πρῶτά	prw=ta/	πρότερος	pro/teros	a-p---nv-
πρῶτά	prw=ta/	πρότερος	pro/teros	a-p---na-
πρῶτά	prw=ta/	πρῶτος	prw=tos	a-p---nn-
πρῶτά	prw=ta/	πρῶτος	prw=tos	a-p---nv-
πρῶτά	prw=ta/	πρῶτος	prw=tos	a-p---na-
πρῶτ’	prw=t'	πρότερος	pro/teros	a-p---nn-
πρῶτ’	prw=t'	πρότερος	pro/teros	a-p---nv-
πρῶτ’	prw=t'	πρότερος	pro/teros	a-p---na-
πρῶτ’	prw=t'	πρότερος	pro/teros	a-s---mv-
πρῶτ’	prw=t'	πρότερος	pro/teros	a-p---fn-
πρῶτ’	prw=t'	πρότερος	pro/teros	a-p---fv-
πρῶτ’	prw=t'	πρῶτος	prw=tos	a-p---nn-
πρῶτ’	prw=t'	πρῶτος	prw=tos	a-p---nv-
πρῶτ’	prw=t'	πρῶτος	prw=tos	a-p---na-
πρῶτ’	prw=t'	πρῶτος	prw=tos	a-s---mv-
πρῶτ’	prw=t'	πρῶτος	prw=tos	a-p---fn-
πρῶτ’	prw=t'	πρῶτος	prw=tos	a-p---fv-
πρῷραν	prw=|ran	πρῷρα	prw=|ra	n-s---fa-
πταναῖς	ptanai=s	πτηνός	pthno/s	a-p---fd-
πτεροῖς	pteroi=s	πτερόν	ptero/n	n-p---nd-
πτεροῖς	pteroi=s	πτερόω	ptero/w	v2spoa---
πτεροῖς	pteroi=s	πτερόω	ptero/w	v2spsa---
πτεροῖς	pteroi=s	πτερόω	ptero/w	v2spia---
πτηνῶν	pthnw=n	πτηνός	pthno/s	a-p---fg-
πτηνῶν	pthnw=n	πτηνός	pthno/s	a-p---mg-
πτηνῶν	pthnw=n	πτηνός	pthno/s	a-p---ng-
πτηνῶν	pthnw=n	πτηνός	pthno/s	n-p---mg-
πτηνῶν	pthnw=n	πτηνός	pthno/s	n-p---fg-
πτηνῶν	pthnw=n	πτηνός	pthno/s	n-p---ng-
πτυχαῖς	ptuxai=s	πτυχή	ptuxh/	n-p---fd-
πτυχαῖσιν	ptuxai=sin	πτυχή	ptuxh/	n-p---fd-
πτυχάς	ptuxa/s	πτυχή	ptuxh/	n-p---fa-
πτέρυγας	pte/rugas	πτέρυξ	pte/ruc	n-p---fa-
πυγμαί	pugmai/	πυγμή	pugmh/	n-p---fn-
πυγμαί	pugmai/	πυγμή	pugmh/	n-p---fv-
πυθέσθαι	puqe/sqai	πυνθάνομαι	punqa/nomai	v--anm---
πυθόμενος	puqo/menos	πύθω	pu/qw	v-spppmn-
πυθόμενος	puqo/menos	πυνθάνομαι	punqa/nomai	v-sapmmn-
πυκναῖς	puknai=s	πυκνός	pukno/s	a-p---fd-
πυλωρός	pulwro/s	πυλωρός	pulwro/s	n-s---mn-
πυνθάνου	punqa/nou	πυνθάνομαι	punqa/nomai	v2spme---
πυνθάνου	punqa/nou	πυνθάνομαι	punqa/nomai	v2siie---
πυνθάνῃ	punqa/nh|	πυνθάνομαι	punqa/nomai	v2spse---
πυνθάνῃ	punqa/nh|	πυνθάνομαι	punqa/nomai	v2spie---
πυνθάνῃ	punqa/nh|	πυνθάνομαι	punqa/nomai	v3spsa---
πυρσῷ	pursw=|	πυρρός	purro/s	a-s---md-
πυρσῷ	pursw=|	πυρρός	purro/s	a-s---nd-
πυρσῷ	pursw=|	πυρσός	purso/s	n-s---md-
πυρωθῆναι	purwqh=nai	πυρόω	puro/w	v--anp---
πυράν	pura/n	πυρή	purh/	n-s---fa-
πυρί	puri/	πῦρ	pu=r	n-s---nd-
πυρᾶς	pura=s	πυράζω	pura/zw	v2sfia---
πυρᾶς	pura=s	πυρεύς	pureu/s	n-p---ma-
πυρᾶς	pura=s	πυρή	purh/	n-s---fg-
πω	pw	πω	pw	g--------
πάγοις	pa/gois	πάγος	pa/gos	n-p---md-
πάγοις	pa/gois	πᾶγος	pa=gos	n-p---md-
πάγχρυσον	pa/gxruson	πάγχρυσος	pa/gxrusos	n-s---ma-
πάγχρυσον	pa/gxruson	πάγχρυσος	pa/gxrusos	n-s---fa-
πάγχρυσον	pa/gxruson	πάγχρυσος	pa/gxrusos	n-s---nn-
