urn:cite2:hmt:lsj.chicago_md:n271	ἀγαθύνω; honour, magnify; adorn; cheer; to be of good cheer, rejoice greatly; make good; make beneficent; do good to; do good, do well
urn:cite2:hmt:lsj.chicago_md:n272	ἀγάθωμα; embodiment of the good
urn:cite2:hmt:lsj.chicago_md:n273	ἀγαθωσύνη; goodness, kindness
urn:cite2:hmt:lsj.chicago_md:n274	ἀγαίομαι; to be indignant at; look on with jealousy; envy; to be wroth; indignant with; admire
urn:cite2:hmt:lsj.chicago_md:n275	ἀγαῖος; enviable
urn:cite2:hmt:lsj.chicago_md:n276	ἀγαῖος; leading the procession; SIG2
urn:cite2:hmt:lsj.chicago_md:n277	ἀγακλεής; very glorious, famous
urn:cite2:hmt:lsj.chicago_md:n278	ἀγακλειτός
urn:cite2:hmt:lsj.chicago_md:n279	ἀγακλυμένη
urn:cite2:hmt:lsj.chicago_md:n280	ἀγακλυτός
urn:cite2:hmt:lsj.chicago_md:n281	ἀγακτιμένη; well-built; placed
urn:cite2:hmt:lsj.chicago_md:n282	ἀγαλακτία; want of milk
urn:cite2:hmt:lsj.chicago_md:n283	ἀγάλακτος; giving no milk; getting no milk; bad for milch cattle
urn:cite2:hmt:lsj.chicago_md:n284	ἀγάλαξ
urn:cite2:hmt:lsj.chicago_md:n285	ἀγαλλίαμα; transport of joy
urn:cite2:hmt:lsj.chicago_md:n286	ἀγαλλίασις; great joy, exultation
urn:cite2:hmt:lsj.chicago_md:n287	ἀγαλλιάω; rejoice exceedingly; in malam partem
urn:cite2:hmt:lsj.chicago_md:n291	ἀγαλλίς; dwarf iris, Iris attica
urn:cite2:hmt:lsj.chicago_md:n292	ἀγάλλω; glorify, exalt; pay honour to; adorn; glory, exult in; strut
urn:cite2:hmt:lsj.chicago_md:n293	ἄγαλμα; glory, delight, honour; mere ornaments; pleasing gift; statue in honour of a god; sculpture; …[1 omitted]… portrait, picture; image; hieroglyphic sign
urn:cite2:hmt:lsj.chicago_md:n294	ἀγαλματίας; like a statue, beautiful as one
urn:cite2:hmt:lsj.chicago_md:n295	ἀγαλμάτιον
urn:cite2:hmt:lsj.chicago_md:n296	ἀγαλματίτης
urn:cite2:hmt:lsj.chicago_md:n297	ἀγαλματογλύφος; sculptor
urn:cite2:hmt:lsj.chicago_md:n298	ἀγαλματοποιέω; make statues; have a statue made of oneself
urn:cite2:hmt:lsj.chicago_md:n299	ἀγαλματοποιητικός; of; for statuary; sculpture
urn:cite2:hmt:lsj.chicago_md:n300	ἀγαλματοποιΐα; sculptorʼs art
urn:cite2:hmt:lsj.chicago_md:n301	ἀγαλματοποιικός; sculptorʼs fee
urn:cite2:hmt:lsj.chicago_md:n302	ἀγαλματοποιός; sculptor
urn:cite2:hmt:lsj.chicago_md:n303	ἀγαλματουργία
urn:cite2:hmt:lsj.chicago_md:n304	ἀγαλματουργικός
urn:cite2:hmt:lsj.chicago_md:n305	ἀγαλματουργός
urn:cite2:hmt:lsj.chicago_md:n306	ἀγαλματοφορέω; carry an image in oneʼs mind, bear impressed upon oneʼs mind
urn:cite2:hmt:lsj.chicago_md:n307	ἀγαλματοφόρος; carrying an image in oneʼs mind
urn:cite2:hmt:lsj.chicago_md:n308	ἀγαλματοφώρας; temple-robber
urn:cite2:hmt:lsj.chicago_md:n309	ἀγαλματόω; make into an image
urn:cite2:hmt:lsj.chicago_md:n310	ἀγαλματώδης; like a statue
urn:cite2:hmt:lsj.chicago_md:n311	ἀγαλμητόν
urn:cite2:hmt:lsj.chicago_md:n312	ἀγαλμοειδής
urn:cite2:hmt:lsj.chicago_md:n313	ἀγαλμοτυπεύς; maker of statues
urn:cite2:hmt:lsj.chicago_md:n314	ἀγάλοχον; eagle-wood, Aquilaria malaccensis
urn:cite2:hmt:lsj.chicago_md:n315	ἄγαλσις; rejoicing
urn:cite2:hmt:lsj.chicago_md:n316	ἄγαμαι; wonder; admire; for; wonder at; to be delighted with; …[1 omitted]… to be jealous; that; to be jealous of, angry at
urn:cite2:hmt:lsj.chicago_md:n317	Ἀγαμέμνων; Agamemnon; Agamemnonʼs son
urn:cite2:hmt:lsj.chicago_md:n319	ἀγαμένως; with admiration; respect
urn:cite2:hmt:lsj.chicago_md:n320	ἀγάμετος
urn:cite2:hmt:lsj.chicago_md:n321	ἀγαμία; single estate, celibacy
urn:cite2:hmt:lsj.chicago_md:n322	ἀγαμίου; for not marrying
urn:cite2:hmt:lsj.chicago_md:n323	ἄγαμος; unmarried, single; marriage that is no marriage, fatal marriage
urn:cite2:hmt:lsj.chicago_md:n324	ἄγαν; very much; too much; far
urn:cite2:hmt:lsj.chicago_md:n325	ἄγανα
urn:cite2:hmt:lsj.chicago_md:n326	ἀγανακτέω; feel a violent irritation; ferment; to be displeased, vexed; show outward signs of grief; to be vexed at; with; to be angry at
urn:cite2:hmt:lsj.chicago_md:n327	ἀγανάκτησις; physical pain and irritation; vexation; wrath
